157;Helium-4;He;7440-59-7;4.003;-9.6312;-3.841;-1.458;-1.065E-08;10;2.20;3.628E-06;5.10;2.532E-06
158;Heptadecane;C17H36;629-78-7;240.468;-19.991;2245.1;1.1982;;;295.13;3.814E-03;575.30;2.088E-04
159;Heptanal;C7H14O;111-71-7;114.185;-10.443;1063.2;-0.031488;;;229.80;2.510E-03;425.95;2.924E-04
160;Heptane;C7H16;142-82-5;100.202;-9.4622;877.07;-0.23445;1.4022E+22;-10;180.15;4.420E-03;432.16;1.430E-04
161;Heptanoic acid;C7H14O2;111-14-8;130.185;-40.543;3328.3;4.1804;;;265.83;9.242E-03;496.15;3.754E-04
162;1-Heptanol;C7H16O;111-70-6;116.201;-66.654;5325.8;7.66;-2.2512E-28;9.9041;239.15;8.805E-02;448.60;3.190E-04
163;2-Heptanol;C7H16O;543-49-7;116.201;11.225;25.319;-3.2694;1.0082E+11;-4.3444;230.00;4.036E-01;432.90;2.723E-04
164;3-Heptanone;C7H14O;106-35-4;114.185;-9.3874;1204.9;-0.32618;;;234.15;2.427E-03;421.15;2.040E-04
165;2-Heptanone;C7H14O;110-43-0;114.185;-13.929;1321.9;0.40382;;;250.00;1.642E-03;424.18;2.318E-04
166;1-Heptene;C7H14;592-76-7;98.186;-10.819;841.33;;;;154.12;4.700E-03;429.92;1.420E-04
167;Heptyl mercaptan;C7H16S;1639-09-4;132.267;-11.812;1291.9;0.076469;;;229.92;3.097E-03;450.09;2.087E-04
168;1-Heptyne;C7H12;628-71-7;96.170;-2.7947;563.86;-1.1636;;;192.22;2.528E-03;447.20;1.777E-04
169;Hexadecane;C16H34;544-76-3;226.441;-20.182;2203.5;1.2289;;;291.31;3.536E-03;564.15;2.054E-04
170;Hexanal;C6H12O;66-25-1;100.159;-10.745;1021.4;-0.000055427;;;217.15;2.378E-03;401.45;2.744E-04
171;Hexane;C6H14;110-54-3;86.175;-6.3276;640;-0.694;5.6884E+21;-10;174.65;2.400E-03;406.08;1.340E-04
172;Hexanoic acid;C6H12O2;142-62-1;116.158;-46.402;3448.6;5.0849;;;269.25;5.854E-03;478.85;4.019E-04
173;1-Hexanol;C6H14O;111-27-3;102.175;-39.324;3841;3.6933;-2.1166E-30;10.485;250.00;2.822E-02;429.90;3.343E-04
174;2-Hexanol;C6H14O;626-93-7;102.175;-82.705;7404.9;6.4721;1.5016;0.41014;223.00;4.919E-01;412.40;3.274E-04
175;2-Hexanone;C6H12O;591-78-6;100.159;-11.445;1187.2;0.0029076;;;217.35;2.561E-03;400.70;2.108E-04
176;3-Hexanone;C6H12O;589-38-8;100.159;-13.684;1283.4;0.33755;;;217.50;2.563E-03;396.65;2.185E-04
177;1-Hexene;C6H12;592-41-6;84.159;-10.36;775.85;-0.082348;;;133.39;7.108E-03;336.63;1.966E-04
178;3-Hexyne;C6H10;928-49-4;82.144;-4.2684;647.6;-1.0087;;;170.05;3.550E-03;432.00;1.377E-04
179;Hexyl mercaptan;C6H14S;111-31-9;118.240;-10.073;1123.3;-0.16515;;;192.62;6.035E-03;425.81;2.172E-04
180;1-Hexyne;C6H10;693-02-7;82.144;-4.7263;594.43;-0.86247;;;141.25;8.332E-03;412.00;2.083E-04
181;2-Hexyne;C6H10;764-35-2;82.144;-3.7464;624.2;-1.084;;;183.65;2.483E-03;435.00;1.368E-04
182;Hydrazine;H4N2;302-01-2;32.045;-75.781;4175.4;9.6508;-7.27E-09;3;274.69;1.450E-03;522.52;2.190E-04
183;Hydrogen;H2;1333-74-0;2.016;-11.661;24.7;-0.261;-4.1E-16;10;13.95;2.546E-05;33.00;3.906E-06
184;Hydrogen bromide;HBr;10035-10-6;80.912;-11.633;316.38;0.56191;;;185.15;9.207E-04;206.45;8.206E-04
185;Hydrogen chloride;HCl;7647-01-0;36.461;-116.34;3834.6;16.864;-2.5875E-10;4;158.97;1.000E-03;318.15;5.780E-05
186;Hydrogen cyanide;CHN;74-90-8;27.025;-21.927;1266.5;1.5927;;;259.83;2.754E-04;298.85;1.821E-04
187;Hydrogen fluoride;HF;7664-39-3;20.006;353.99;13928;-41.717;-2,962;-0.5;189.79;1.550E-03;368.92;1.190E-04
188;Hydrogen sulfide;H2S;7783-06-4;34.081;-10.905;762.11;-0.11863;;;187.68;5.726E-04;350.00;8.089E-05
189;Isobutyric acid;C4H8O2;79-31-2;88.105;-11.497;1365.7;0.036966;;;250.00;2.938E-03;450.00;2.649E-04
190;Isopropyl amine;C3H9N;75-31-0;59.110;-31.157;1926;2.925;;;250.00;6.737E-04;453.15;1.214E-04
191;Malonic acid;C3H4O4;141-82-2;104.061;-19.834;2784.5;1.1161;;;404.15;1.939E-03;580.00;3.593E-04
192;Methacrylic acid;C4H6O2;79-41-4;86.089;-14.527;1497.7;0.51747;;;288.15;1.664E-03;434.15;3.582E-04
